,smiles,Hf[eV],CH3,CH2,CH,C
0,ethane,-0.8690168707877607,2,0,0,0
1,propane,-1.0849701650254377,2,1,0,0
2,butane,-1.302224382722378,2,2,0,0
3,pentane,-1.521213165031669,2,3,0,0
4,hexane,-1.732830047738469,2,4,0,0
5,heptane,-1.9466151362107076,2,5,0,0
6,octane,-2.160400224682946,2,6,0,0
7,nonane,-2.366379772399606,2,7,0,0
8,decane,-2.5875367604743356,2,8,0,0
9,undecane,-2.8013218489465737,2,9,0,0
10,dodecane,-3.0146732962657246,2,10,0,0
11,tridecane,-3.2284583847379635,2,11,0,0
12,tetradecane,-3.4422434732102016,2,12,0,0
13,pentadecane,-3.677710619336826,2,13,0,0
14,hexadecane,-3.8854247316658364,2,14,0,0
15,heptadecane,-4.082731456320743,2,15,0,0
16,octadecane,-4.296516544792981,2,16,0,0
17,nonadecane,-4.509867992112132,2,17,0,0
18,icosane,-4.723653080584371,2,18,0,0
19,dotriacontane,-7.220125198910288,2,30,0,0
20,2-methylpropane,-1.4058646183103396,3,0,1,0
21,2-methylbutane,-1.5927639552911401,3,1,1,0
22,2-methylpentane,-1.8065490437633787,3,2,1,0
23,3-methylpentane,-1.7787960099657658,3,2,1,0
24,2-methylhexane,-2.0207677733887053,3,3,1,0
25,3-methylhexane,-1.993014739591092,3,3,1,0
26,3-ethylpentane,-1.9661289880996544,3,3,1,0
27,2-methylheptane,-2.2332519384016805,3,4,1,0
28,3-methylheptane,-2.2037643399917166,3,4,1,0
29,4-methylheptane,-2.1981270050015764,3,4,1,0
30,3-ethylhexane,-2.185551411562033,3,4,1,0
31,2-methylnonane,-2.6968143310524373,3,6,1,0
32,5-methylnonane,-2.6803359672351044,3,6,1,0
33,11-butyldocosane,-6.149031550783657,3,22,1,0
34,5-butyldocosane,-6.088321789351378,3,22,1,0
35,11-decylhenicosane,-7.254816491157305,3,27,1,0
36,"2,2-dimethylpropane",-1.7406355884940479,4,0,0,1
37,"2,2-dimethylbutane",-1.9231985139439716,4,1,0,1
38,"2,3-dimethylbutane",-1.8425412594696584,4,0,2,0
39,"2,2-dimethylpentane",-2.1374172435692977,4,2,0,1
40,"2,3-dimethylpentane",-2.064999171003651,4,1,2,0
41,"2,4-dimethylpentane",-2.094486769413615,4,1,2,0
42,"3,3-dimethylpentane",-2.0888494344234747,4,2,0,1
43,"2,2-dimethylhexane",-2.3290866332340636,4,3,0,1
44,"2,3-dimethylhexane",-2.2172072157374356,4,2,2,0
45,"2,4-dimethylhexane",-2.2740142067919247,4,2,2,0
46,"2,5-dimethylhexane",-2.307404575579678,4,2,2,0
47,"3,3-dimethylhexane",-2.281386106394416,4,3,0,1
48,"3,4-dimethylhexane",-2.207667110369506,4,2,2,0
49,3-ethyl-2-methylpentane,-2.1890205407867347,4,2,2,0
50,3-ethyl-3-methylpentane,-2.2280482445646284,4,3,0,1
51,"2,2-dimethylheptane",-2.5506772624618805,4,4,0,1
52,"2,2,3-trimethylbutane",-2.1231070855174035,5,0,1,1
53,"2,2,3-trimethylpentane",-2.281386106394416,5,1,1,1
54,"2,2,4-trimethylpentane",-2.3230156570908354,5,1,1,1
55,"2,3,3-trimethylpentane",-2.2432256849226975,5,1,1,1
56,"2,3,4-trimethylpentane",-2.2536330725968026,5,0,3,0
57,"2,2,5-trimethylhexane",-2.6230953350275272,5,2,1,1
58,"2,3,5-trimethylhexane",-2.514251405602513,5,1,3,0
59,"3-ethyl-2,4-dimethylpentane",-2.3568396670316765,5,1,3,0
60,"2,2,3,3-tetramethylbutane",-2.3412285855205193,6,0,0,2
61,"2,2,4,4-tetramethylpentane",-2.5025430944691456,6,1,0,2
62,"2,2,5,5-tetramethylhexane",-2.9487598409963938,6,2,0,2
63,"3,3,4,4-tetraethylhexane",-2.751886757494576,6,6,0,2
64,"3-tert-butyl-2,2,4,4-tetramethylpentane",-2.445736103414656,9,0,1,3
65,"2,2,3,3,4,4,5,5-octamethylhexane",-2.573660243575529,10,0,0,4
66,"3,4-ditert-butyl-2,2,5,5-tetramethylhexane",-2.5975105069953526,12,0,2,4
